Year,Austro-Hungary,Argentina,Belgium,Brazil,Denmark,France,Germany,Greece,Italy,Netherlands,Norway,Portugal,Russian,Spain,Sweden,Switzerland,United Kingdom
1880,661,20,279,120,52,3531,1720,38,1236,116,,26,732,792,,43,82
1881,713,21,290,128,53,3785,1956,42,1321,111,40,28,738,787,101,43,84
1882,757,27,297,130,54,3644,2243,51,1354,116,43,30,791,780,100,44,87
1883,794,31,300,130,57,3653,2345,59,1336,112,41,29,751,802,104,50,86
1884,806,38,350,133,57,3449,2387,61,1299,133,45,31,758,793,104,48,88
1885,838,37,333,122,54,3320,2503,59,1410,116,44,32,776,816,106,48,90
1886,825,42,371,127,55,3169,2626,62,1447,123,43,35,792,887,104,61,91
1887,845,51,341,146,54,3244,3049,83,1431,119,45,38,843,803,97,60,90
1888,848,52,347,151,56,3268,3276,90,1442,124,45,39,903,852,110,60,90
1889,906,73,387,161,57,3271,3740,84,1507,125,51,39,948,800,116,61,95
1890,985,73,378,195,57,3376,3892,80,1576,166,52,41,969,740,122,68,97
1891,1025,74,402,229,57,3364,4083,86,1506,130,51,38,927,779,118,69,99
1892,1050,110,414,228,56,3370,3994,95,1447,132,53,43,1003,707,117,76,98
1893,1136,123,398,260,58,3366,4042,93,1448,127,54,46,1055,749,120,78,98
1894,1152,121,405,265,59,3458,4263,100,1466,133,55,49,1227,755,135,84,102
1895,1211,132,396,308,64,3416,4239,94,1518,132,59,52,1262,766,143,81,109
1896,1218,124,481,346,65,3436,4700,95,1535,134,66,50,1386,822,145,87,112
1897,1308,151,500,303,69,3528,4924,86,1527,136,77,49,1427,804,163,92,116
1898,1320,136,680,324,71,3620,5257,103,1548,144,85,51,1595,842,173,95,118
1899,1321,166,483,321,70,3657,5520,110,1566,148,67,54,1674,972,190,100,130
1900,1384,151,543,308,68,3815,5881,112,1589,155,88,55,1708,995,192,101,140
1901,1367,151,636,305,67,3634,6249,115,1620,153,90,53,1806,1023,185,102,153
1902,1403,156,628,344,77,3582,6205,114,1651,161,88,56,1910,1021,192,107,161
1903,1436,172,632,415,80,3668,6673,115,1675,166,90,58,2164,1039,228,113,151
1904,1489,199,529,443,98,3739,6261,116,1686,164,87,60,2021,1000,235,115,153
1905,1524,212,706,401,88,3766,6859,122,1772,176,95,61,2029,1010,245,130,154
1906,1634,232,676,432,107,3837,7301,126,1814,182,103,64,2279,1097,253,135,155
1907,1829,246,708,536,99,3968,7578,123,1797,184,111,71,2350,1080,282,147,157
1908,1927,263,699,441,93,3966,7769,123,1821,183,140,70,2430,1072,286,149,152
1909,2129,285,795,450,82,4141,8920,117,1917,191,120,73,2540,1066,290,157,132
1910,2275,308,815,525,91,4274,8820,130,2045,188,128,70,2805,1050,315,155,204
1911,2422,316,738,564,101,4689,9167,138,2152,206,138,66,2954,1131,398,99,185
1912,2526,363,778,615,124,4857,8961,131,2249,213,151,84,3108,1131,351,103,189
1913,,370,808,654,125,5092,19768,129,2502,227,167,72,,1505,,101,198